area_name,description,house_type,m2,price,price_sqm,build_year,floor,has_elevator,condition,own_property,energy_class,fetchedAt
Kallio,1h+alkovi+k+kph,kt,"45,30",246000,5430,1925,3/6,on,hyvä,oma,D2018,2024-01-16
Lassila,"1h, kk, kph, s,",kt,"35,00",130000,3714,1984,2/5,on,tyyd.,oma,E2018,2024-01-16
Kallio,"1h,k, alkovi",kt,"41,00",214000,5220,1939,6/6,on,tyyd.,oma,F2013,2024-01-16
Torkkelinmäki,"1h, k, kph",kt,"44,70",255000,5705,1928,2/4,ei,huono,oma,E2018,2024-01-16
Kallio,"1h, avok, alkov",kt,"26,00",195000,7500,1929,4/4,ei,tyyd.,oma,D2018,2024-01-16
Pitäjänmäki,"1h, k, kph, p",kt,"32,50",79290,2440,1974,1/5,on,tyyd.,oma,F2013,2024-01-16
Pohjois-haaga,1h+kk,kt,"27,00",115000,4259,1954,1/3,ei,tyyd.,oma,F2013,2024-01-16
Puotila,"1h, kk, vaatehu",kt,"28,30",92000,3251,1961,2/3,ei,huono,vuokra,E2007,2024-01-16
Katajanokka,"1h, k",kt,"41,00",220000,5366,1981,3/5,on,hyvä,vuokra,D2018,2024-01-16
Kallio,"1h,kk",kt,"18,60",120000,6452,1931,4/7,on,huono,oma,E2007,2024-01-16
Sörnäinen,1h ja kk,kt,"25,00",130000,5200,1937,4/8,on,tyyd.,oma,E2018,2024-01-16
Etelä-haaga,"1h, kk, kh, parv",kt,"30,00",175000,5833,1961,1/3,ei,hyvä,oma,F2007,2024-01-16
Etelä-haaga,"1h,kk, kph, alk",kt,"30,50",166000,5443,1961,1/3,ei,hyvä,oma,F2007,2024-01-16
Itä-pasila,"1h, kk, kph, la",kt,"35,50",111000,3127,1975,1/5,on,huono,vuokra,D2018,2024-01-16
Arabianranta,"1-2h, k",kt,"47,50",296000,6232,2015,6/9,on,hyvä,oma,B2018,2024-01-16
Meilahti,"1h, kk, kph",kt,"24,00",185000,7708,1946,4/7,on,hyvä,oma,E2013,2024-01-16
